UniProtAC,Gene_Name
P35354,PTGS2
Q9BXW9,FANCD2
Q9UPY5,SLC7A11
P36969,GPX4
Q04828,AKR1C1
P52895,AKR1C2
P42330,AKR1C3
P06400,RB1
P04792,HSPB1
Q00613,HSF1
Q16236,NFE2L2
Q13501,SQSTM1
P15559,NQO1
P09601,HMOX1
P02794,FTH1
P15941,MUC1
P13640,MT1G
Q9NP59,SLC40A1
Q9NZ45,CISD1
P11021,HSPA5
P18848,ATF4
P04637,TP53
Q9NRZ9,HELLS
O00767,SCD
O95864,FADS2
P12931,SRC
P40763,STAT3
P29590,PML
Q9Y697,NFS1
Q9H3D4,TP63
P38936,CDKN1A
P45880,VDAC2
P07954,FH
Q8N5K1,CISD2
P35520,CBS
Q9H1K1,ISCU
O95573,ACSL3
Q96FW1,OTUB1
P16070,CD44
Q6ZUF6,LINC00336
O60885,BRD4
P30041,PRDX6
P58004,SESN2
P35240,NF2
O00327,BMAL1
Q16665,HIF1A
Q16790,CA9
Q9HC24,TMBIM4
Q9BRQ8,AIFM2
P13473,LAMP2
P26651,ZFP36
Q8N271,PROM2
Q9NZZ3,CHMP5
Q96FZ7,CHMP6
Q03135,CAV1
P30793,GCH1
Q9NTG7,SIRT3
O00625,PIR
P48506,GCLC
Q9BXC0,HCAR1
P53985,SLC16A1
P31350,RRM2
P36956,SREBF1
Q12772,SREBF2
O75084,FZD7
O15382,BCAT2
O60733,PLA2G6
Q99497,PARK7
Q16595,FXN
O43463,SUV39H1
P15336,ATF2
Q15831,STK11
P12830,CDH1
Q96PU5,NEDD4L
P02787,TF
Q8N4E7,FTMT
Q16698,DECR1
Q86SX6,GLRX5
Q96RD6,PANX2
P05549,TFAP2A
P00450,CP
P62330,ARF6
Q99988,GDF15
Q8N2K0,ABHD12
Q00059,TFAM
Q7LBC6,KDM3B
O15541,RNF113A
Q6IQ55,TTBK2
P48735,IDH2
Q07869,PPARA
O43255,SIAH2
P54646,PRKAA2
P46934,NEDD4
P10275,AR
Q14872,MTF1
P61923,COPZ1
O60356,NUPR1
Q9P2H5,USP35
Q86YH6,PDSS2
P17174,GOT1
Q9HBH7,BEX1
P15090,FABP4
Q96EB6,SIRT1
Q06418,TYRO3
Q8N6T7,SIRT6
O95235,KIF20A
Q13011,ECH1
P43268,ETV4
P55072,VCP
P29558,RBMS1
O75164,KDM4A
P10620,MGST1
Q9Y5U8,MPC1
Q96RR4,CAMKK2
P48431,SOX2
Q13242,SRSF9
Q06413,MEF2C
Q15910,EZH2
A5PLL7,PEDS1
P30304,CDC25A
P11413,G6PD
P80188,LCN2
Q92519,TRIB2
Q02127,DHODH
Q16654,PDK4
P05231,IL6
Q99952,PTPN18
P02792,FTL
O15440,ABCC5
P0C7P0,CISD3
Q96FL9,GALNT14
Q9BQ90,KLHDC3
P09488,GSTM1
Q99969,RARRES2
P51784,USP11
Q14494,NFE2L1
Q16534,HLF
Q9NQ88,TIGAR
Q14114,LRP8
Q15365,PCBP1
O94907,DKK1
Q8N5F7,NKAP
Q8IV42,PSTK
Q14767,LTBP2
Q9UNN5,FAF1
Q9NSK7,C19orf12
P37198,NUP62
Q96RI1,NR1H4
O43435,TBX1
P23142,FBLN1
Q92685,ALG3
Q8NCA5,FAM98A
Q658P3,STEAP3
Q9BRK3,MXRA8
Q8WUJ3,CEMIP
Q8IWT3,CUL9
Q00987,MDM2
Q86U44,METTL3
Q9Y239,NOD1
Q9UM47,NOTCH3
P06733,ENO1
P14902,IDO1
P18850,ATF6
P16234,PDGFRA
Q15366,PCBP2
P42226,STAT6
Q14103,HNRNPD
P03372,ESR1
Q07955,SRSF1
Q96A54,ADIPOR1
P08195,SLC3A2
P51114,FXR1
Q6NSZ9,ZSCAN25
P19440,GGT1
P49368,CCT3
Q96SL4,GPX7
O14965,AURKA
Q9P0U3,SENP1
Q8NAU1,FNDC5
O94874,UFL1
P12644,BMP4
Q9UMX1,SUFU
Q8WUK0,PTPMT1
P02649,APOE
Q8WYB5,KAT6B
Q06830,PRDX1
P32119,PRDX2
Q13162,PRDX4
Q96P11,NSUN5
P02654,APOC1
P49768,PSEN1
P49810,PSEN2
P14866,HNRNPL
P15884,TCF4
Q8TCT0,CERK
P30530,AXL
P22455,FGFR4
Q13283,G3BP1
O43504,LAMTOR5
O95631,NTN1
Q7KZF4,SND1
Q86W50,METTL16
P46937,YAP1
Q9C0B1,FTO
O43150,ASAP2
P32929,CTH
Q9Y6N5,SQOR
Q6PUV4,CPLX2
Q96FL8,SLC47A1
P0DMC3,APELA
Q15758,SLC1A5
Q8NBP7,PCSK9
P02790,HPX
P01106,MYC
O00425,IGF2BP3
P52823,STC1
Q5S007,LRRK2
P55058,PLTP
P11142,HSPA8
O60245,PCDH7
Q9BX46,RBM24
Q9H0A0,NAT10
P17535,JUND
O75030,MITF
O60341,KDM1A
Q8IUX7,AEBP1
Q15853,USF2
P14618,PKM
O94925,GLS
P35367,HRH1
P32322,PYCR1
Q9BY76,ANGPTL4
Q9H0F6,SHARPIN
O15068,MCF2L
Q6IMN6,CAPRIN2
P04035,HMGCR
Q01954,BNC1
O94759,TRPM2
Q8NER1,TRPV1
Q9C029,TRIM7
P63027,VAMP2
P55157,MTTP
P22760,AADAC
P05106,ITGB3
P21554,CNR1
P56270,MAZ
O75381,PEX14
P11309,PIM1
Q02978,SLC25A11
P42898,MTHFR
Q92747,ARPC1A
Q8WV92,MITD1
O43175,PHGDH
P48163,ME1
P19419,ELK1
O60337,MARCHF6
P23921,RRM1
Q96K31,C8orf76
P62917,RPL8
P48200,IREB2
P48201,ATP5MC3
O75390,CS
Q15006,EMC2
Q96CM8,ACSF2
P52209,PGD
P49589,CARS1
Q14145,KEAP1
Q9H1Y0,ATG5
O95352,ATG7
Q13772,NCOA4
P09917,ALOX5
P18054,ALOX12
O75342,ALOX12B
P16050,ALOX15
O15296,ALOX15B
Q9BYJ1,ALOXE3
P15735,PHKG2
O60488,ACSL4
P21673,SAT1
P00533,EGFR
Q9NPH5,NOX4
P27361,MAPK3
P28482,MAPK1
P37275,ZEB1
P27487,DPP4
P42771,CDKN2A
P30086,PEBP1
O15524,SOCS1
Q16878,CDO1
P10242,MYB
Q9BUX1,CHAC1
Q9H8W2,LINC00472
Q14457,BECN1
Q13131,PRKAA1
Q15717,ELAVL1
Q92560,BAP1
P33527,ABCC1
P36896,ACVR1B
P36897,TGFBR1
P01579,IFNG
Q4KMQ2,ANO6
P09429,HMGB1
P21580,TNFAIP3
P18847,ATF3
Q13315,ATM
Q9H869,YY1AP1
Q96KS0,EGLN2
Q9UGB7,MIOX
Q16635,TAFAZZIN
Q86UE4,MTDH
O75874,IDH1
Q96RD7,PANX1
P36776,LONP1
P49841,GSK3B
P45983,MAPK8
Q9NPI1,BRD7
Q96A46,SLC25A28
P49281,SLC11A2
Q92574,TSC1
P37840,SNCA
P02786,TFRC
Q8N884,CGAS
Q86WV6,STING1
Q8N4P3,HDDC3
O15151,MDM4
P16435,POR
P09622,DLD
O75190,DNAJB6
Q9GZV5,WWTR1
P17252,PRKCA
P17405,SMPD1
P04198,MYCN
Q9H0W8,SMG9
O00206,TLR4
Q6TCH7,PAQR3
Q9BPX6,MICU1
O00391,QSOX1
Q9HBJ8,CLTRN
Q9Y5W3,KLF2
Q9H6S0,YTHDC2
Q16832,DDR2
Q92504,SLC39A7
Q7Z4K8,TRIM46
P33121,ACSL1
P29375,KDM5A
Q8WWM9,CYGB
O43708,GSTZ1
P21399,ACO1
P17302,GJA1
Q14011,CIRBP
Q8WVX9,FAR1
Q12899,TRIM26
Q92508,PIEZO1
P42702,LIFR
P29350,PTPN6
O75077,ADAM23
Q9BZB8,CPEB1
O15054,KDM6B
Q9HCE5,METTL14
Q86YT6,MIB1
P41229,KDM5C
Q16204,CCDC6
P05771,PRKCB
Q16658,FSCN1
Q8TDY2,RB1CC1
P05164,MPO
O15391,YY2
P61812,TGFB2
Q6P6C2,ALKBH5
Q13087,PDIA2
P08047,SP1
Q6P1A2,LPCAT3
P54849,EMP1
Q9NYZ2,SLC25A37
P0DMR3,ATXN8OS
Q9UI32,GLS2
Q9Y5E9,PCDHB14
Q04837,SSBP1
Q9Y6G5,COMMD10
O15534,PER1
Q92730,RND1
P30260,CDC27
Q9H093,NUAK2
P37235,HPCAL1
Q05084,ICA1
Q8NE86,MCU
P54578,USP14
Q9NX09,DDIT4
P07237,P4HB
O95487,SEC24B
Q8IWR1,TRIM59
O95571,ETHE1
O14508,SOCS2
Q5XXA6,ANO1
Q16620,NTRK2
Q6ZMJ2,SCARA5
P35914,HMGCL
Q00341,HDLBP
Q5XUX0,FBXO31
O00255,MEN1
P24310,COX7A1
P01375,TNF
O14867,BACH1
P78423,CX3CL1
P28907,CD38
Q96C12,ARMC5
P06730,EIF4E
Q9UN76,SLC6A14
Q9H0R8,GABARAPL1
P01562,IFNA1
A0A6I8PU40,TUG1
Q9BWH2,FUNDC2
Q15011,HERPUD1
O75460,ERN1
Q96KQ7,EHMT2
P19801,AOC1
Q96QT4,TRPM7
Q15043,SLC39A14
Q9BXW4,MAP1LC3C
Q9ULC5,ACSL5
Q9C0K1,SLC39A8
Q96F10,SAT2
Q5U3C3,TMEM164
Q9Y5S8,NOX1
P04839,CYBB
F7VJQ1,PRNP
Q9Y277,VDAC3
Q96H96,COQ2
P04156,PRNP
Q9H492,MAP1LC3A
P48507,GCLM
Q9UBM7,DHCR7
P48637,GSS
Q9H2H9,SLC38A1
Q16881,TXNRD1
Q9UKU0,ACSL6
A6NCE7,MAP1LC3B2
Q92982,NINJ1
O75845,SC5D
Q9GZQ8,MAP1LC3B
